Brewery,Name,Score,Style,ABV,Address,Lat,Lon,Link
Stone Brewing Liberty Station,Stone / Paul Bischeri & Patrick Martinez / Abnormal Neapolitan Dynamite,4.9,Stout - Imperial,8.5,"2816 Historic Decatur Rd #116, San Diego, CA 92106",32.7403007,-117.2119237,"https://www.google.com/maps/place/Stone+Brewing+World+Bistro+%26+Gardens+-+Liberty+Station/@32.7403007,-117.2119237,15z/data=!4m2!3m1!1s0x0:0xb7539190ea356d2?sa=X&ved=0ahUKEwjWwJb54-fZAhUNtlkKHX4UDEYQ_BIIvAEwCg"
Stone Brewing Liberty Station,Stone Enjoy By IPA,5.0,IPA - Imperial / Double,9.4,"2816 Historic Decatur Rd #116, San Diego, CA 92106",32.7403007,-117.2119237,"https://www.google.com/maps/place/Stone+Brewing+World+Bistro+%26+Gardens+-+Liberty+Station/@32.7403007,-117.2119237,15z/data=!4m2!3m1!1s0x0:0xb7539190ea356d2?sa=X&ved=0ahUKEwjWwJb54-fZAhUNtlkKHX4UDEYQ_BIIvAEwCg"
Stone Brewing Liberty Station,Stone / Beavertown / Garage Project Fruitallica,4.8,IPA - Imperial / Double,8.0,"2816 Historic Decatur Rd #116, San Diego, CA 92106",32.7403007,-117.2119237,"https://www.google.com/maps/place/Stone+Brewing+World+Bistro+%26+Gardens+-+Liberty+Station/@32.7403007,-117.2119237,15z/data=!4m2!3m1!1s0x0:0xb7539190ea356d2?sa=X&ved=0ahUKEwjWwJb54-fZAhUNtlkKHX4UDEYQ_BIIvAEwCg"
Stone Brewing Liberty Station,Stone Ripper,4.1,Pale Ale - American,5.7,"2816 Historic Decatur Rd #116, San Diego, CA 92106",32.7403007,-117.2119237,"https://www.google.com/maps/place/Stone+Brewing+World+Bistro+%26+Gardens+-+Liberty+Station/@32.7403007,-117.2119237,15z/data=!4m2!3m1!1s0x0:0xb7539190ea356d2?sa=X&ved=0ahUKEwjWwJb54-fZAhUNtlkKHX4UDEYQ_BIIvAEwCg"
AleSmith Brewing Company,AleSmith Speedway Stout - Jamaica Blue Mountain Coffee,5.0,Stout - Imperial,12.0,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
AleSmith Brewing Company,AleSmith Speedway Stout - Double Barrel,5.0,Stout - Imperial,13.0,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
AleSmith Brewing Company,AleSmith Speedway Stout - Sea Salt Barrel-Aged Vietnamese,4.95,Stout - Imperial,12.0,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
AleSmith Brewing Company,AleSmith Private Stock Bourbon Barrel-Aged,4.85,English Strong Ale,12.0,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
AleSmith Brewing Company,AleSmith Old Rumskull (Rum Barrel),4.6,Barley Wine / Wheat Wine,11.5,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
AleSmith Brewing Company,AleSmith Speedway Stout - Thai,4.95,Stout - Imperial,12.0,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
AleSmith Brewing Company,AleSmith Private Stock Ale,4.85,English Strong Ale,11.0,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
AleSmith Brewing Company,AleSmith Quad - Red Wine Barrel,4.85,Abbey Quadrupel / Abt,12.0,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
AleSmith Brewing Company,AleSmith Wee Heavy Scotch Ale - Bourbon Barrel,5.0,Scotch Ale / Wee Heavy,10.0,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
AleSmith Brewing Company,AleSmith Decadence 2016,4.55,American Strong Ale,9.5,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
AleSmith Brewing Company,AleSmith / Beachwood Broken Filter,4.5,IPA,6.5,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
AleSmith Brewing Company,AleSmith Speedway Stout - Bird Rock Coffee,4.6,Stout - Imperial,12.0,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
AleSmith Brewing Company,AleSmith Spezial Pils,4.1,Pilsener,4.9,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
AleSmith Brewing Company,AleSmith Decadence 2017,4.75,Stout - Imperial,10.0,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
AleSmith Brewing Company,AleSmith Speedway Stout - Rye Barrel Aged: Vietnamese,5.0,Stout - Imperial,13.0,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
AleSmith Brewing Company,AleSmith Speedway Stout - Bourbon Barrel Aged,5.0,Stout - Imperial,12.0,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
AleSmith Brewing Company,AleSmith San Diego Pale Ale .394,4.9,Pale Ale - American,6.0,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
AleSmith Brewing Company,AleSmith Old Numbskull - Bourbon Barrel Aged,5.0,Barley Wine / Wheat Wine,11.0,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
AleSmith Brewing Company,AleSmith Speedway Stout - Hawaiian,5.0,Stout - Imperial,12.0,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
AleSmith Brewing Company,AleSmith All English Anvil Ale ESB,4.2,,,"9990 AleSmith Ct, San Diego, CA 92126",32.888186,-117.1498484,"https://www.google.com/maps/place/AleSmith+Brewing+Company/@32.888186,-117.1498484,15z/data=!4m2!3m1!1s0x0:0x6b638fcda2060498?sa=X&ved=0ahUKEwiauuXxsM7ZAhUrjlQKHZJjDZIQ_BIIxgEwCg"
